scraped_at_utc,is_market_open,business_date,symbol,security_name,open_price,high_price,low_price,close_price,last_traded_price,previous_closing_price,point_change,percentage_change,total_traded_quantity,total_traded_value,total_trades
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,HPPL,Himalayan Power Partner Ltd.,420.0,420.0,408.3,410.9,,,,,174045,71662955.4,797
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,HRL,Himalayan Reinsurance Limited,858.7,888.4,858.7,882.0,,,,,151387,133210304.3,1405
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,HURJA,Himalaya Urja Bikas Company Limited,294.0,294.7,289.0,294.0,,,,,158119,46188397.9,498
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,ICFC,ICFC Finance Limited,675.0,684.9,670.0,678.0,,,,,32176,21764032.2,124
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,ICFCD83,12% ICFC Finance Limited Debenture 2083,1105.0,1110.2,1105.0,1110.2,,,,,200,221260.0,2
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,ICFCD88,9% ICFC Finance Limited Debenture 2088,1155.0,1165.0,1155.0,1165.0,,,,,124,144210.0,4
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,IGI,IGI Prudential insurance Limited,471.0,492.0,470.0,486.0,,,,,31932,15310629.5,156
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,IHL,Ingwa Hydropower Limited,518.0,522.0,515.2,519.0,,,,,12866,6667873.7,105
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,ILBS,Infinity Laghubitta Bittiya Sanstha Limited,1057.0,1057.0,1026.1,1035.0,,,,,7429,7703198.9,100
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,ILI,IME Life Insurance Company Limited,460.1,469.0,460.1,468.0,,,,,24419,11354330.3,384
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,JBBL,Jyoti Bikas Bank Limited,374.0,385.0,374.0,384.9,,,,,142213,54120216.2,421
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,JBLB,Jeevan Bikas Laghubitta  Bittya Sanstha Ltd,1385.0,1390.0,1375.0,1382.5,,,,,9718,13422395.5,288
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,JFL,Janaki Finance Company Limited,455.0,457.0,451.0,456.0,,,,,11158,5075125.3,84
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,JHAPA,Jhapa Energy Limited,1420.0,1473.7,1420.0,1445.0,,,,,11029,15921873.6,188
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,JOSHI,Joshi Hydropower Development Company Ltd,315.0,319.0,310.1,315.0,,,,,51422,16171282.4,257
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,JSLBB,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,1220.0,1234.0,1202.0,1234.0,,,,,759,928091.0,24
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,KBL,Kumari Bank Limited,242.0,244.0,238.0,240.0,,,,,1376978,330926769.5,2634
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,KBSH,Kutheli Bukhari Small Hydropower Limited,1695.4,1728.0,1694.0,1705.0,,,,,617,1054294.4,17
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,KDBY,Kumari Dhanabriddhi Yojana,10.42,10.76,10.32,10.76,,,,,366450,3919959.46,78
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,KDL,Kalinchowk Darshan Limited,890.2,915.0,890.2,914.0,,,,,3277,2965102.2,119
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,KEF,Kumari Equity Fund,10.0,10.2,10.0,10.15,,,,,38395,386229.45,68
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,KKHC,Khanikhola Hydropower Co. Ltd.,291.2,296.9,285.8,292.0,,,,,167300,48999442.7,576
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,KMCDB,Kalika Laghubitta Bittiya Sanstha Ltd,976.0,985.0,965.0,985.0,,,,,3333,3240489.4,57
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,KPCL,Kalika power Company Ltd,540.0,544.0,533.6,537.1,,,,,42782,23047612.4,268
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,KSBBL,Kamana Sewa Bikas Bank Limited,500.0,507.3,497.4,506.0,,,,,58050,29176718.9,237
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,KSY,Kumari Sabal Yojana,9.72,9.9,9.56,9.77,,,,,3700,36306.0,16
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,LBBL,Lumbini Bikas Bank Ltd.,510.0,524.0,505.0,524.0,,,,,122932,63415241.2,366
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,LBBLD89,11% L.B.B.L. Debenture 2089,1315.7,1335.0,1315.7,1335.0,,,,,225,298892.5,3
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,LEC,Liberty Energy Company Limited,262.0,262.7,252.8,260.5,,,,,417015,107460658.5,1153
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,LICN,Life Insurance Corporation (Nepal) Limited,877.0,887.4,870.0,880.0,,,,,25468,22387496.4,153
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1040.0,1040.0,1000.1,1040.0,,,,,2035,2081130.2,24
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,LSL,Laxmi Sunrise Bank Limited,236.5,236.5,229.5,235.0,,,,,301843,70576506.4,501
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,LUK,Laxmi Unnati Kosh,9.83,10.09,9.83,10.09,,,,,2600,25935.0,11
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,LVF2,Laxmi Value Fund 2,9.95,10.0,9.95,10.0,,,,,1150,11468.0,10
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,MABEL,Mabilung Energy Limited,760.1,783.7,756.2,773.0,,,,,34594,26875302.0,418
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,MAKAR,Makar Jitumaya Suri Hydropower Limited,538.0,554.0,538.0,541.5,,,,,7350,3993760.3,100
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,MANDU,Mandu Hydropower Limited,838.0,859.8,838.0,859.5,,,,,5120,4329367.8,65
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,MATRI,Matribhumi Lagubitta Bittiya Sanstha Limited,1000.0,1019.5,1000.0,1007.0,,,,,1773,1779112.0,43
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,314.0,318.0,311.3,317.0,,,,,86331,27226012.3,502
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,MBL,Machhapuchhre Bank Limited,266.0,269.0,252.9,266.9,,,,,289333,76487412.8,515
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,MBLEF,MBL Equity Fund,10.21,10.7,10.21,10.6,,,,,270050,2798667.5,33
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,MCHL,Menchhiyam Hydropower Limited,420.0,424.0,416.0,422.0,,,,,8266,3466907.5,89
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,MDB,Miteri Development Bank Limited,646.0,659.5,645.0,650.0,,,,,18497,12060801.6,96
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,MEHL,Manakamana Engineering Hydropower Limited,465.1,475.0,465.1,473.0,,,,,19052,8973468.1,176
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,MEL,Modi Energy Limited,298.0,300.0,295.1,299.0,,,,,25533,7618631.9,260
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,MEN,Mountain Energy Nepal Limited,624.0,629.9,615.0,621.5,,,,,104901,65054895.3,494
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,MERO,Mero Microfinance Bittiya Sanstha Ltd.,786.0,799.0,775.0,798.0,,,,,9135,7173090.7,123
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,MFIL,Manjushree Finance Ltd.,880.7,880.7,852.6,869.9,,,,,68901,59440821.2,360
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,MFLD85,9.5% Manjushree Finance Limited Debenture 2085,1140.0,1186.0,1131.0,1186.0,,,,,300,349345.5,8
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,MHCL,Molung Hydropower Company Limited,385.0,392.7,380.1,390.0,,,,,28331,10944212.6,197
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,MHL,Mandakini Hydropower Limited,554.0,554.0,546.1,549.2,,,,,32584,17916491.0,130
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,MHNL,Mountain Hydro Nepal Limited,305.7,315.0,305.7,314.7,,,,,37784,11766779.6,175
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,MKCL,Muktinath Krishi Company Limited,1409.0,1435.0,1400.6,1432.0,,,,,3439,4892790.4,80
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,MKHC,Maya Khola Hydropower Company Limited,349.1,367.1,345.0,366.0,,,,,68333,24586576.0,392
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,MKHL,Mai Khola Hydropower Limited,783.5,814.0,770.0,801.0,,,,,7778,6091119.8,118
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,MKJC,Mailung Khola Jal Vidhyut Company Limited,544.0,547.0,535.0,540.0,,,,,18582,10007881.2,120
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,1380.0,1380.0,1356.0,1375.0,,,,,1670,2278037.6,29
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,MLBL,Mahalaxmi Bikas Bank Ltd.,400.0,402.0,395.4,398.0,,,,,40754,16255117.1,193
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,MLBS,Manushi Laghubitta Bittiya Sanstha Limited,1536.0,1536.0,1490.1,1536.0,,,,,1383,2086588.3,39
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,MLBSL,Mahila Lagubitta Bittiya Sanstha Limited ,1999.9,2000.2,1950.0,1979.0,,,,,771,1525945.4,25
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,MMF1,Mega Mutual Fund -1,9.64,9.83,9.56,9.8,,,,,19635,190449.3,60
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,MMKJL,Mathillo Mailun Khola Jalvidhyut Limited,570.0,578.0,566.0,573.0,,,,,12743,7274430.0,105
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,MNBBL,Muktinath Bikas Bank Ltd.,401.0,401.0,396.0,399.1,,,,,66451,26484793.4,353
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,MNMF1,Muktinath Mutual Fund 1,9.81,10.17,9.81,10.09,,,,,125150,1264900.0,52
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,MPFL,Multipurpose Finance Company  Limited,719.4,719.4,698.1,719.0,,,,,31689,22383145.1,215
2026-03-28T16:39:15+00:00,CLOSE,2026-03-26,MSHL,Mid Solu Hydropower Limited,801.0,804.3,795.0,804.3,,,,,3045,2427545.6,49
